date,phase,energy,title,estimated_minutes,tasks,resource_refs
2026-06-16,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-17,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-17,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-17,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-18,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-18,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-18,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-19,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-19,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-19,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-20,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-20,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-20,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-21,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-21,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-21,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-22,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-22,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-22,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-23,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-23,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-23,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-06-24,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-24,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-24,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-06-25,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-25,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-25,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-06-26,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-26,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-26,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-06-27,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-27,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-27,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-06-28,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-28,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-28,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-06-29,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-29,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-29,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-06-30,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-30,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-30,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-07-01,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-07-01,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-07-01,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-07-02,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-07-02,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-07-02,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-07-03,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-07-03,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-07-03,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-07-04,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-07-04,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-07-04,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-07-05,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-07-05,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-07-05,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-07-06,Interview Fluency,Red,Interview Fluency — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-07-06,Interview Fluency,Yellow,Interview Fluency — Yellow,40,10 min mental math|2 timed probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-07-06,Interview Fluency,Green,Interview Fluency — Green,55,15 min mental math|3 timed probability questions|1 market-making drill|Record yourself explaining 1 solution|Log mistakes|Stop,"TraderMath Market Games,Jane Street Probability & Markets"
2026-07-07,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-07,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-07,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-08,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-08,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-08,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-09,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-09,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-09,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-10,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-10,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-10,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-11,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-11,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-11,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-12,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-12,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-12,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-13,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-13,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-13,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-14,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-14,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-14,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-15,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-15,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-15,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-16,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-16,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-16,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-17,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-17,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-17,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-18,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-18,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-18,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-19,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-19,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-19,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
2026-07-20,Pressure and Readiness,Red,Pressure and Readiness — Red,15,10 min mental math|Review retry-due errors|Stop,TraderMath
2026-07-20,Pressure and Readiness,Yellow,Pressure and Readiness — Yellow,40,10 min mental math|2 mixed timed questions|1 explanation aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-07-20,Pressure and Readiness,Green,Pressure and Readiness — Green,55,15 min mental math|3 mixed timed questions|1 market-making game|Record yourself explaining 1 solution|Log mistakes|Stop,TraderMath Market Games
